Iter     Function value   Gradient norm 
     0     3.667016e+05     1.960690e+03
     1     3.628118e+05     8.491963e+02
     2     3.604730e+05     7.547151e+02
     3     3.594350e+05     7.507454e+02
     4     3.587525e+05     8.664243e+02
     5     3.580865e+05     1.046276e+03
     6     3.574071e+05     9.586550e+02
     7     3.567477e+05     9.286558e+02
     8     3.560769e+05     1.314931e+03
     9     3.554457e+05     1.661310e+03
    10     3.547957e+05     1.821543e+03
    11     3.541755e+05     2.154434e+03
    12     3.535749e+05     2.223952e+03
    13     3.529829e+05     2.719488e+03
    14     3.524050e+05     2.914879e+03
    15     3.518296e+05     2.784495e+03
    16     3.512469e+05     2.817010e+03
    17     3.506618e+05     2.841945e+03
    18     3.501012e+05     2.946981e+03
    19     3.495385e+05     2.802608e+03
    20     3.489841e+05     2.955175e+03
    21     3.484442e+05     2.552521e+03
    22     3.479064e+05     2.653245e+03
    23     3.473726e+05     2.414532e+03
    24     3.468361e+05     2.382357e+03
    25     3.463348e+05     2.326617e+03
    26     3.458276e+05     2.777640e+03
    27     3.453379e+05     1.273713e+03
    28     3.448672e+05     1.290792e+03
    29     3.444190e+05     1.655448e+03
    30     3.439692e+05     1.830671e+03
    31     3.435193e+05     1.434698e+03
    32     3.430803e+05     1.312042e+03
    33     3.426541e+05     2.009461e+03
    34     3.422201e+05     1.812181e+03
    35     3.418039e+05     1.809846e+03
    36     3.414103e+05     1.469515e+03
    37     3.410406e+05     1.498915e+03
    38     3.406718e+05     1.314227e+03
    39     3.403181e+05     1.318708e+03
    40     3.399710e+05     1.146691e+03
    41     3.396263e+05     9.623796e+02
    42     3.392891e+05     9.719888e+02
    43     3.389626e+05     1.037363e+03
    44     3.386442e+05     1.067040e+03
    45     3.383338e+05     1.010755e+03
    46     3.380267e+05     9.373881e+02
    47     3.377237e+05     8.863128e+02
    48     3.374235e+05     8.250593e+02
    49     3.371259e+05     7.600342e+02
    50     3.368458e+05     8.532967e+02
    51     3.365734e+05     7.858423e+02
    52     3.363049e+05     7.504829e+02
    53     3.360388e+05     7.657105e+02
    54     3.357767e+05     9.041778e+02
    55     3.355206e+05     9.829796e+02
    56     3.352711e+05     1.002427e+03
    57     3.350258e+05     9.992362e+02
    58     3.347835e+05     9.940737e+02
    59     3.345440e+05     9.834979e+02
    60     3.343094e+05     9.649070e+02
    61     3.340775e+05     9.497661e+02
    62     3.338470e+05     9.329400e+02
    63     3.336196e+05     9.080127e+02
    64     3.333957e+05     8.798504e+02
    65     3.331788e+05     8.766629e+02
    66     3.329663e+05     8.773283e+02
    67     3.327570e+05     8.403785e+02
    68     3.325504e+05     8.100561e+02
    69     3.323428e+05     7.840786e+02
    70     3.321424e+05     7.529493e+02
    71     3.319550e+05     7.359979e+02
    72     3.317715e+05     7.100276e+02
    73     3.315892e+05     6.848043e+02
    74     3.314125e+05     6.776611e+02
    75     3.312386e+05     6.678164e+02
    76     3.310690e+05     6.558020e+02
    77     3.309003e+05     6.455823e+02
    78     3.307407e+05     6.257164e+02
    79     3.305836e+05     6.176733e+02
    80     3.304318e+05     6.139132e+02
    81     3.302847e+05     6.018322e+02
    82     3.301426e+05     5.965690e+02
    83     3.300055e+05     5.956582e+02
    84     3.298706e+05     5.987747e+02
    85     3.297377e+05     5.924079e+02
    86     3.296055e+05     5.767625e+02
    87     3.294754e+05     5.672688e+02
    88     3.293463e+05     5.544219e+02
    89     3.292170e+05     5.671305e+02
    90     3.290894e+05     5.594791e+02
    91     3.290700e+05     9.313130e+02
