    87     1.451908e+05     1.476927e+02
 * time: 8715.073558092117
0     1.538972e+05     5.565032e+02
 * time: 2.3126602172851562e-5
     1     1.538055e+05     2.937597e+02
 * ti    88     1.451577e+05     1.334447e+02
 * time: 8815.722345113754
e: 206.12205004692078
     3     1.531308e+05     1.936981e+02
 * time: 306.0654730796814
     4     1.529081e+05     1.992790e+02
 *     89     1.451258e+05     1.322841e+02
 * time: 8916.522479057312
    90     1.450950e+05     1.376010e+02
 * time: 9016.511997938156
    91     1.450649e+05     1.338283e+02
 * time: 9117.398490905762
    92     1.450353e+05     1.413084e+02
 * time: 9219.676181077957
    93     1.450060e+05     1.534526e+02
 * time: 9320.844499111176
    94     1.449766e+05     1.361569e+02
 * time: 9421.393002986908
    95     1.449477e+05     1.418459e+02
 * time: 9521.983016967773
    96     1.449196e+05     1.425496e+02
 * time: 9623.16055393219
    97     1.448915e+05     1.351346e+02
 * time: 9724.063299894333
    98     1.448643e+05     1.050947e+02
 * time: 9824.446829080582
    99     1.448381e+05     1.629486e+02
 * time: 9925.294505119324
   100     1.448112e+05     9.186777e+01
 * time: 10026.305603027344
   101     1.447846e+05     1.313258e+02
 * time: 10127.396236896515
   102     1.447586e+05     1.283745e+02
 * time: 10228.694076061249
   103     1.447322e+05     8.507353e+01
 * time: 10329.207014083862
   104     1.447070e+05     1.121501e+02
 * time: 10429.919528007507
   105     1.446815e+05     1.373416e+02
 * time: 10529.916260957718
   106     1.446569e+05     8.547063e+01
 * time: 10629.917319059372
   107     1.446325e+05     9.513520e+01
 * time: 10730.492805957794
   108     1.446087e+05     1.014461e+02
 * time: 10832.159238100052
   109     1.445853e+05     7.632978e+01
 * time: 10932.616360902786
   110     1.445619e+05     1.199883e+02
 * time: 11034.63374710083
   111     1.445382e+05     1.024088e+02
 * time: 11136.005953073502
   112     1.445150e+05     9.941099e+01
 * time: 11237.150780916214
   113     1.444926e+05     1.195582e+02
 * time: 11338.103338956833
   114     1.444702e+05     8.968900e+01
 * time: 11439.704883098602
   115     1.444481e+05     1.228541e+02
 * time: 11540.515424013138
   116     1.444266e+05     7.398369e+01
 * time: 11642.01672410965
   117     1.444053e+05     1.107318e+02
 * time: 11742.936162948608
