Iter     Function value   Gradient norm 
     0     8.439127e+03     4.457194e+02
     1     8.166456e+03     1.524134e+02
     2     8.067939e+03     6.657207e+01
     3     8.012823e+03     6.134397e+01
     4     7.965109e+03     6.431013e+01
     5     7.916772e+03     6.249929e+01
     6     7.868642e+03     5.952989e+01
     7     7.829314e+03     5.915469e+01
     8     7.790537e+03     5.494238e+01
     9     7.755751e+03     5.051062e+01
    10     7.719023e+03     4.504067e+01
    11     7.689659e+03     3.987091e+01
    12     7.660159e+03     3.511293e+01
    13     7.635775e+03     2.963402e+01
    14     7.613652e+03     2.419421e+01
    15     7.595903e+03     2.054463e+01
    16     7.580781e+03     1.623331e+01
    17     7.568582e+03     1.212628e+01
    18     7.558882e+03     7.496869e+00
    19     7.557675e+03     7.606654e+00
    20     7.554622e+03     1.658089e+01
    21     7.550569e+03     2.166135e+01
    22     7.548751e+03     2.161057e+01
    23     7.546769e+03     2.106574e+01
    24     7.545981e+03     1.711866e+01
    25     7.541219e+03     2.162963e+00
Iter     Function value   Gradient norm 
     0     7.539937e+03     1.310617e+01
     1     7.539420e+03     3.694999e+00
     2     7.538188e+03     1.943203e+00
     3     7.537487e+03     5.895390e-01
     4     7.537127e+03     5.887429e-01
     5     7.536753e+03     3.638836e+00
     6     7.536313e+03     6.016311e+00
     7     7.535826e+03     6.968760e+00
     8     7.535310e+03     1.072847e+01
     9     7.534527e+03     1.691246e+01
    10     7.533344e+03     1.401496e+01
    11     7.532116e+03     1.244913e+01
    12     7.531157e+03     1.566981e+01
    13     7.529926e+03     1.021684e+01
    14     7.528863e+03     6.340732e+00
    15     7.528041e+03     2.620391e+00
    16     7.527430e+03     6.986147e-01
    17     7.527166e+03     5.598441e+00
    18     7.527148e+03     1.645593e+01
    19     7.526900e+03     4.274610e+00
    20     7.526735e+03     1.447938e+00
    21     7.526662e+03     2.294073e+00
    22     7.526600e+03     1.630569e+00
    23     7.526579e+03     1.074548e+00
    24     7.526572e+03     7.326312e-02
    25     7.526569e+03     5.287985e-01
    26     7.526566e+03     5.038560e-01
    27     7.526560e+03     2.317215e-01
    28     7.526555e+03     2.487423e-01
    29     7.526546e+03     5.070379e-01
    30     7.526531e+03     7.357320e-01
    31     7.526516e+03     1.110762e+00
    32     7.526511e+03     1.632352e+00
    33     7.526510e+03     1.713214e+00
    34     7.526508e+03     1.569630e+00
    35     7.526491e+03     1.040184e+00
    36     7.526486e+03     3.231118e+00
    37     7.526470e+03     3.614486e+00
    38     7.526452e+03     1.520726e+00
    39     7.526441e+03     2.060126e-01
    40     7.526434e+03     3.566645e-01
    41     7.526418e+03     1.131688e+00
    42     7.526404e+03     2.574219e+00
    43     7.526379e+03     1.843200e+00
    44     7.526360e+03     6.610839e-01
    45     7.526348e+03     8.128139e-01
    46     7.526343e+03     3.925186e-01
    47     7.526337e+03     4.057557e-01
    48     7.526330e+03     4.469257e-01
    49     7.526317e+03     6.439998e-01
    50     7.526293e+03     1.464161e+00
    51     7.526287e+03     1.378650e+00
    52     7.526280e+03     8.966034e-02
    53     7.526279e+03     2.681532e-01
    54     7.526278e+03     2.697463e-01
    55     7.526278e+03     1.188326e-01
    56     7.526277e+03     4.088796e-02
    57     7.526277e+03     4.833984e-02
    58     7.526277e+03     3.771087e-02
    59     7.526277e+03     5.574440e-02
    60     7.526276e+03     1.992569e-01
    61     7.526276e+03     2.570264e-01
    62     7.526273e+03     4.188056e-01
    63     7.526272e+03     3.036038e-01
    64     7.526271e+03     3.124782e-02
    65     7.526270e+03     6.151814e-02
    66     7.526270e+03     3.679961e-02
    67     7.526270e+03     1.692709e-02
    68     7.526270e+03     4.214891e-02
    69     7.526270e+03     2.967391e-02
    70     7.526270e+03     5.344094e-03
┌ Warning: Linesearch failed, using alpha = 0.0 and exiting optimization.
│ The linesearch exited with message:
│ Linesearch failed to converge, reached maximum iterations 1000.
└ @ Optim ~/.julia/packages/Optim/Agd3B/src/utilities/perform_linesearch.jl:47
 40.312914 seconds (27.47 M allocations: 2.163 GiB, 2.61% gc time)
 29.072203 seconds (30.95 M allocations: 1.352 GiB, 3.97% gc time)
