Iter     Function value   Gradient norm 
    41     8.219745e+04     1.191389e+02
    42     8.219643e+04     1.101403e+02
    43     8.219291e+04     5.375148e+01
    44     8.219243e+04     4.800052e+01
    45     8.219025e+04     7.312754e+01
    46     8.218969e+04     1.230287e+02
    47     8.218604e+04     1.395251e+02
    48     8.218502e+04     8.004434e+01
    49     8.218130e+04     6.566433e+01
    50     8.217983e+04     8.982510e+01
    51     8.217501e+04     7.157391e+01
    52     8.217372e+04     1.608731e+02
    53     8.217173e+04     1.013873e+02
    54     8.216960e+04     7.729208e+01
    55     8.216641e+04     4.650821e+01
    56     8.216498e+04     4.346237e+01
    57     8.216428e+04     3.182329e+01
    58     8.216392e+04     4.431457e+01
    59     8.216281e+04     9.089461e+01
    60     8.216151e+04     9.604890e+01
    61     8.216111e+04     7.097438e+01
    62     8.216072e+04     3.825304e+01
    63     8.216045e+04     8.870933e+00
    64     8.216027e+04     2.973700e+01
    65     8.216001e+04     1.568533e+01
    66     8.215951e+04     2.947855e+01
    67     8.215903e+04     4.660043e+01
    68     8.215854e+04     4.081702e+01
    69     8.215815e+04     5.230629e+01
    70     8.215773e+04     2.036966e+01
    71     8.215746e+04     5.137415e+01
    72     8.215719e+04     2.133635e+01
    73     8.215707e+04     6.648033e+01
    74     8.215693e+04     1.594828e+01
    75     8.215650e+04     7.529449e+00
    76     8.215610e+04     1.322799e+01
    77     8.215578e+04     3.325410e+01
    78     8.215550e+04     1.095711e+01
    79     8.215532e+04     3.235305e+01
    80     8.215517e+04     3.350327e+01
    81     8.215502e+04     5.168089e+01
    82     8.215494e+04     1.894507e+01
    83     8.215451e+04     2.864171e+01
    84     8.215429e+04     1.664193e+01
    85     8.215410e+04     3.916384e+01
    86     8.215395e+04     2.573044e+01
    87     8.215379e+04     1.658573e+01
    88     8.215370e+04     3.327668e+01
    89     8.215340e+04     2.812009e+01
    90     8.215318e+04     2.398916e+01
    91     8.215305e+04     1.765549e+01
    92     8.215294e+04     3.978508e+01
    93     8.215247e+04     2.885025e+01
    94     8.215206e+04     2.459397e+01
    95     8.215171e+04     2.855670e+01
    96     8.215133e+04     2.156528e+01
    97     8.215108e+04     2.999672e+01
    98     8.215077e+04     1.922746e+01
    99     8.215047e+04     3.638291e+01
   100     8.214974e+04     3.952881e+01
   101     8.214961e+04     3.246664e+01
   102     8.214937e+04     3.119798e+01
   103     8.214927e+04     3.066158e+01
   104     8.214919e+04     3.032753e+01
   105     8.214903e+04     2.789784e+01
   106     8.214891e+04     3.449039e+01
   107     8.214882e+04     2.744625e+01
   108     8.214861e+04     1.914395e+01
   109     8.214848e+04     4.009332e+01
   110     8.214814e+04     2.817848e+01
   111     8.214787e+04     2.832674e+01
   112     8.214761e+04     2.791917e+01
   113     8.214736e+04     2.854279e+01
   114     8.214709e+04     2.572151e+01
   115     8.214684e+04     3.089321e+01
   116     8.214657e+04     2.643182e+01
   117     8.214632e+04     3.058164e+01
   118     8.214605e+04     2.334632e+01
   119     8.214580e+04     2.801787e+01
   120     8.214554e+04     2.206054e+01
   121     8.214531e+04     2.562882e+01
   122     8.214505e+04     2.016002e+01
   123     8.214481e+04     2.136973e+01
   124     8.214458e+04     1.975434e+01
   125     8.214434e+04     1.969783e+01
   126     8.214410e+04     2.148360e+01
   127     8.214387e+04     2.027496e+01
   128     8.214364e+04     2.056102e+01
   129     8.214341e+04     2.152530e+01
   130     8.214319e+04     2.094279e+01
   131     8.214298e+04     2.240650e+01
   132     8.214277e+04     2.432943e+01
   133     8.214257e+04     2.378417e+01
   134     8.214239e+04     2.383248e+01
   135     8.214220e+04     2.546214e+01
   136     8.214204e+04     2.291950e+01
   137     8.214188e+04     2.456490e+01
   138     8.214172e+04     2.157621e+01
   139     8.214158e+04     2.254651e+01
   140     8.214144e+04     2.123693e+01
   141     8.214130e+04     1.564799e+01
   142     8.214119e+04     1.723993e+01
   143     8.214107e+04     5.188815e+00
   144     8.214096e+04     1.177412e+01
   145     8.214088e+04     1.108816e+01
   146     8.214082e+04     1.966977e+01
   147     8.214075e+04     1.377473e+01
   148     8.214071e+04     1.092503e+01
   149     8.214068e+04     9.360090e+00
   150     8.214065e+04     7.934772e+00
   151     8.214063e+04     4.391647e+00
   152     8.214059e+04     3.627087e+00
   153     8.214055e+04     5.953090e+00
   154     8.214050e+04     1.168434e+01
   155     8.214045e+04     1.376818e+01
   156     8.214041e+04     1.654837e+01
   157     8.214036e+04     6.988656e+00
   158     8.214033e+04     9.862589e+00
   159     8.214030e+04     2.537553e+00
   160     8.214026e+04     5.465933e+00
   161     8.214023e+04     4.198987e+00
   162     8.214021e+04     2.964712e+00
